region,region_code,period,pct_phys_any_ehr,pct_phys_cert_ehr,pct_primary_care_phys_cert_ehr,pct_surg_med_spec_phys_cert_ehr,pct_small_practice_phys_cert_ehr,pct_phys_send_receive_any_patient_info,pct_phys_patient_secure_message,pct_phys_vdt,pct_phys_vd_and_t,pct_phys_find_clin_info,pct_phys_send_any_clin_info,pct_phys_send_summary_care_record,pct_phys_receive_any_clin_info,pct_phys_receive_summary_care_record,pct_phys_integrate_any_clin_info,pct_phys_integrate_summary_care_record,pct_phys_info_available,pct_phys_use_info,pct_phys_search_vax,pct_phys_search_scr,pct_phys_epcs,pct_phys_pdmp,pct_phys_erx,pct_phys_basic_ehr,pct_primary_care_phys_basic_ehr,pct_rural_phys_basic_ehr,pct_small_practice_phys_basic_ehr,pct_phys_view_labs,pct_phys_send_lab_orders,pct_phys_graph_labs,pct_phys_e_share_provs,pct_phys_e_share_ambu_provs,pct_phys_e_share_hosps,pct_phys_e_share_patients,pct_phys_patient_clinical_summary
Nevada,NV,2019,1,0.75793087,0.61658287,0.82881004,0.74106789,0.46900302,0.56103998,0.88598365,0.11107581,0.32287452,0.47010177,0.40607539,0.42121059,0.24426664,0.27288458,0.11291757,0.11291757,0.11401634,0.17804272,0.22693391,0.29586717,0.84209484,1,,,,,,,,,,,,
New Hampshire,NH,2019,0.95625186,0.74062157,0.56541002,0.82865429,0.84082568,0.54810023,0.80847633,0.74164677,0.080622718,0.4006204,0.37322709,0.37322709,0.58527058,0.49533203,0.23732929,0.074916527,0.21512622,0.42128709,0.11866464,0.26041073,0.3098065,0.78569061,0.95625186,,,,,,,,,,,,
New Jersey,NJ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,NM,2019,0.90384138,0.69873339,0.75009954,0.46352449,0.64212263,0.41017401,0.66267395,0.66267395,0,0.30993122,0.4082315,0.25018874,0.51078546,0.40401971,0.30340824,0.25213125,0.051276989,0.20931974,0.30993122,0.30993122,0.22773485,0.84936672,0.90384138,,,,,,,,,,,,
New York,NY,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,NC,2019,,,,0.57206494,0.60071295,0.62853718,,0.74179989,0.1520918,0.58718926,0.4044328,0.25562617,0.55652457,0.34230706,0.46421224,0.30889601,0.27077255,0.44326186,0.37281895,0.54836023,0.69690639,0.71119601,,,,,,,,,,,,,
North Dakota,ND,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,OH,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,OK,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,OR,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2019,0.90608239,0.68439794,0.59622025,0.74079734,0.66995442,0.4825345,0.7521435,0.7913301,0.052695967,0.55916375,0.32502034,0.18836193,0.36882475,0.26343283,0.285281,0.15751415,0.12776686,0.26442528,0.29675534,0.55916375,0.45301545,0.65670669,0.90608239,,,,,,,,,,,,
Rhode Island,RI,2019,,0.67522061,,0.51949352,0.54333091,0.50207108,0.71095532,0.59593147,0.03395699,0.46624234,0.43137836,0.21734293,0.46400577,0.29632932,0.24517184,0.11008756,0.072022274,0.36075616,0.28634441,0.39641291,0.4342069,0.58400118,,,,,,,,,,,,,
South Carolina,SC,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,SD,2019,,,,,,0.55518466,,,0.12993519,,0.47886187,,0.50334197,,0.1044234,0.053399805,0.16170745,,,,0.60361236,,,,,,,,,,,,,,
Tennessee,TN,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2019,0.78904963,0.48082227,0.37031612,0.78613281,0.43826759,0.36486247,0.48082227,0.47535682,0.051371232,0.30170879,0.26322046,0.25626013,0.27691036,0.27691036,0.13595933,0.13595933,0.10530104,0.19640774,0.24777897,0.23870179,0.31426612,0.50364351,0.78904963,,,,,,,,,,,,
Utah,UT,2019,0.91520554,0.79206532,0.7769109,0.8090452,0.71095067,0.3839882,0.83075625,0.87591183,0.082282916,0.32976893,0.29607946,0.20637107,0.38087389,0.33632109,0.1751056,0.1358119,0.03929371,0.22060634,0.25334787,0.32976893,0.58992976,0.7571044,0.91520554,,,,,,,,,,,,
Vermont,VT,2019,,,,,,,,,,,,,,,,,0.032935847,,,,,,,,,,,,,,,,,,
Virginia,VA,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,WA,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,WV,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,WI,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2019,,0.62099987,0.65616274,0.57889163,0.62099987,0.19786322,0.57624388,0.6955663,0.033703722,0.3051888,0.13410833,0.095471129,0.13410833,0.095471129,,0.10676515,,0.096031547,0.16742791,0.10732558,0.47848019,0.59094328,,,,,,,,,,,,,
Alabama,AL,2017,0.82725108,0.78551835,,,,0.32334599,,,,,0.32334599,0.23171073,0.25149557,,0.28473827,0.2137547,,,,,,,,,,,,,,,,,,,
Alaska,AK,2017,0.90825665,0.73284978,,,,0.39842111,0.57769078,,,0.57150376,0.28538245,0.29438648,0.35103342,0.32991913,0.26352504,0.19370879,,,,,,,,,,,,,,,,,,,
Arizona,AZ,2017,0.90810537,0.77935451,,,,0.4054819,0.60055047,,,0.5058654,0.36342523,0.23294388,0.26063496,0.25853032,0.22206399,0.17568804,,,,,,,,,,,,,,,,,,,
Arkansas,AR,2017,0.86319554,0.84415573,,,,0.39514056,0.66230983,,,0.47003487,0.31200084,0.33673152,0.31183475,0.41626543,0.37113258,0.3501713,,,,,,,,,,,,,,,,,,,
California,CA,2017,0.78775132,0.72919673,,,,0.38517499,0.67193651,,,,0.21134858,,0.30228007,,0.23347107,,,,,,,,,,,,,,,,,,,,
Colorado,CO,2017,0.90466458,0.86234069,,,,,0.7482872,,,,,,,,0.27308768,0.21428606,,,,,,,,,,,,,,,,,,,
Connecticut,CT,2017,0.88213432,0.80743778,,,,0.54386997,0.62428141,,,0.5742234,0.43992963,0.26298058,0.42753714,0.32442701,0.23694377,,,,,,,,,,,,,,,,,,,,
Delaware,DE,2017,0.86661303,0.71835387,,,,0.42449668,0.57946306,,,0.72233492,0.28549644,0.26132828,0.39419079,0.33354336,0.23383456,0.18133508,,,,,,,,,,,,,,,,,,,
District Of Columbia,DC,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,FL,2017,0.85952133,0.7977674,,,,0.40325186,0.64287138,,,0.36206475,0.29992875,,0.30784762,0.16658331,0.23126936,,,,,,,,,,,,,,,,,,,,
Georgia,GA,2017,0.89182645,0.85587925,,,,0.37881878,0.74929607,,,0.5497002,0.32648799,0.19104095,0.28004271,0.21130818,0.22735953,0.15546528,,,,,,,,,,,,,,,,,,,
Hawaii,HI,2017,0.88394243,0.80953258,,,,0.50788713,0.67302585,,,0.63615322,0.4421021,0.22637951,0.48396814,0.3274869,0.34792894,0.25110894,,,,,,,,,,,,,,,,,,,
Idaho,ID,2017,0.81216598,0.81216598,,,,0.54722518,0.77106899,,,0.61294538,0.4966163,0.33766782,0.39948857,0.38940582,0.27015319,0.20085202,,,,,,,,,,,,,,,,,,,
Illinois,IL,2017,0.90719497,0.83552271,,,,0.47345462,0.65028822,,,0.48534176,0.38101134,0.22756857,0.40992206,0.34847128,0.2591731,0.1727193,,,,,,,,,,,,,,,,,,,
Indiana,IN,2017,0.94631273,0.86172408,,,,,0.69733989,,,,,0.26615357,,,,0.26518485,,,,,,,,,,,,,,,,,,,
Iowa,IA,2017,0.88934654,0.84218991,,,,0.48128179,0.71327293,,,0.68830168,0.40453345,0.23272702,0.40494543,0.32743105,0.24125005,0.15820636,,,,,,,,,,,,,,,,,,,
Kansas,KS,2017,0.93257928,0.8176617,,,,0.5169996,0.68118399,,,0.46401262,0.38007867,0.28167629,0.4480308,0.33344844,0.36907908,0.32554933,,,,,,,,,,,,,,,,,,,
Kentucky,KY,2017,0.83041394,0.72994679,,,,,,,,,,0.26793092,,0.21980409,0.29234368,0.29234368,,,,,,,,,,,,,,,,,,,
Louisiana,LA,2017,0.83709002,0.81084681,,,,0.63638413,0.75685668,,,0.57430005,0.59201348,0.42447546,,0.40581656,0.41444463,0.34276369,,,,,,,,,,,,,,,,,,,
Maine,ME,2017,0.80588484,0.778256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,MD,2017,0.85811359,0.73117161,,,,0.40186256,0.67009747,,,0.50554985,0.27834734,0.23799688,0.25221068,0.25651738,0.27393851,0.25320843,,,,,,,,,,,,,,,,,,,
Massachusetts,MA,2017,0.94472545,0.88246447,,,,,0.69889921,,,,,,,0.27003464,0.27248412,,,,,,,,,,,,,,,,,,,,
Michigan,MI,2017,0.82999724,0.82999724,,,,0.43171409,0.7503072,,,0.58749497,0.31350651,0.27564955,0.36554593,0.31911975,0.28205684,0.21044779,,,,,,,,,,,,,,,,,,,
Minnesota,MN,2017,0.97778922,0.92423546,,,,0.71306145,0.86117369,,,0.68164396,0.56024647,0.30218342,0.62380904,0.37006187,0.37501189,0.29156369,,,,,,,,,,,,,,,,,,,
Mississippi,MS,2017,0.82033205,0.78066629,,,,0.47480372,0.62992167,,,0.38612321,0.41122049,0.30538327,0.3782354,0.39154941,0.24717641,0.22948352,,,,,,,,,,,,,,,,,,,
Missouri,MO,2017,0.90519476,0.75400513,,,,0.31676686,0.63351816,,,0.42734122,0.22470516,0.20384945,0.23679273,0.27282768,0.19555709,0.17129727,,,,,,,,,,,,,,,,,,,
Montana,MT,2017,0.8775264,0.84148222,,,,0.5315609,0.74368453,,,0.36908531,0.49440366,0.39256647,0.37148914,0.42212602,0.36956593,0.26986924,,,,,,,,,,,,,,,,,,,
National,US,2017,0.859,0.797,,,,0.4624385,0.68423027,,,0.52744848,0.3588773,0.23632491,0.37729779,0.28912449,0.27649447,0.2052191,,,,,,,,,,,,,,,,,,,
Nebraska,NE,2017,0.9482221,0.81010312,,,,0.41405302,0.72503489,,,0.56946361,0.34473458,0.22392705,0.3086375,0.22796233,0.31498349,0.22985849,,,,,,,,,,,,,,,,,,,
Nevada,NV,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,NH,2017,0.87581336,0.80508929,,,,0.45777327,0.72052473,,,0.44343466,0.37302822,0.19951347,0.43937895,0.25445485,,,,,,,,,,,,,,,,,,,,,
New Jersey,NJ,2017,0.73340958,0.66762745,,,,0.40235159,0.50785214,,,0.41876188,0.38162503,0.23679058,0.31967232,0.19273083,0.30938095,0.22477104,,,,,,,,,,,,,,,,,,,
New Mexico,NM,2017,0.90319973,0.78147256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,NY,2017,0.70972681,0.64141715,,,,0.37280405,0.64150304,,,,0.21981679,,0.2902016,0.27080387,0.20287228,,,,,,,,,,,,,,,,,,,,
North Carolina,NC,2017,0.95853233,0.95853233,,,,0.56947297,0.76942307,,,0.61778718,0.50210398,0.29449847,0.38438383,0.33529153,0.38021025,0.23367842,,,,,,,,,,,,,,,,,,,
North Dakota,ND,2017,0.96092457,0.91407365,,,,0.60924327,0.71544248,,,0.62806815,0.51141727,0.37105015,0.54423326,0.38637444,0.30521712,0.24785091,,,,,,,,,,,,,,,,,,,
Ohio,OH,2017,0.84429246,0.81371152,,,,,0.72772908,,,,,,,,0.30130821,0.30130821,,,,,,,,,,,,,,,,,,,
Oklahoma,OK,2017,0.9181127,0.8112849,,,,0.55016029,0.69007587,,,0.39103645,0.40526354,0.30586928,0.45470816,0.30815104,0.27959368,0.24101634,,,,,,,,,,,,,,,,,,,
Oregon,OR,2017,0.92576134,0.90066332,,,,0.64566016,0.77643251,,,0.80342156,0.48567557,0.34655952,0.60628206,0.51861405,0.4827404,0.440956,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2017,0.85829735,0.83076066,,,,,0.78148818,,,,,0.28141177,,0.27916867,,,,,,,,,,,,,,,,,,,,,
Rhode Island,RI,2017,0.86993116,0.74533403,,,,,,,,,0.38587886,0.22017698,0.3423357,0.2627036,,,,,,,,,,,,,,,,,,,,,
South Carolina,SC,2017,0.978827,0.92824602,,,,,0.76662058,,,,,,,0.24988575,0.35545495,0.2335127,,,,,,,,,,,,,,,,,,,
South Dakota,SD,2017,0.95669454,0.87512922,,,,0.47978219,0.7391153,,,0.42878598,0.40706474,0.32957703,0.43607092,0.3577781,0.25637102,0.17610005,,,,,,,,,,,,,,,,,,,
Tennessee,TN,2017,0.84101379,0.73222828,,,,0.49064067,0.61208564,,,0.56144726,0.34348863,0.30081514,0.40184888,0.31275648,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2017,0.8609702,0.82116061,,,,0.43279487,0.66624522,,,0.57646728,0.36901158,0.33366802,0.41400656,0.36679959,0.35317695,0.2702544,,,,,,,,,,,,,,,,,,,
Utah,UT,2017,0.94486278,0.85363632,,,,0.42646557,0.65360487,,,0.48872256,0.25467241,0.19424251,0.30611867,0.19309853,0.21866199,,,,,,,,,,,,,,,,,,,,
Vermont,VT,2017,0.91211915,0.86568481,,,,0.51850468,0.84257901,,,0.59614861,0.39164329,,0.42947719,0.27529863,0.24637787,0.17470625,,,,,,,,,,,,,,,,,,,
Virginia,VA,2017,0.94609582,0.85966784,,,,0.55719268,0.69513011,,,0.60805231,0.4348146,0.21604657,0.51341021,0.34137163,0.29932907,0.22541887,,,,,,,,,,,,,,,,,,,
Washington,WA,2017,0.90964711,0.78090441,,,,0.58576906,0.70071405,,,0.67147046,0.49853039,0.37181821,0.54835743,0.40953159,0.45698479,0.32479778,,,,,,,,,,,,,,,,,,,
West Virginia,WV,2017,0.95117003,0.95117003,,,,0.51871765,0.7355271,,,0.62856716,0.43556949,0.27902266,0.42788747,0.36989135,0.30357507,0.24189322,,,,,,,,,,,,,,,,,,,
Wisconsin,WI,2017,0.97535157,0.91018516,,,,,0.89470875,,,0.73477566,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2017,0.90358776,0.80306441,,,,0.55905563,0.74202937,,,0.38560233,0.44845477,0.21660928,0.45826295,0.21292767,0.21081194,0.18311724,,,,,,,,,,,,,,,,,,,
Alabama,AL,2015,0.834,0.781,0.707625428,0.845477372,0.733585435,0.311413873,0.544631956,0.599657017,0.179843907,0.379138531,0.298738448,0.131430342,0.249739136,0.130934307,0.195901833,0.086895953,,,,,,,,0.365,,,,,,,,,,0.658287171,
Alaska,AK,2015,0.829,0.712,0.781998903,0.55914038,0.539732053,0.390080924,0.518779589,0.501125199,0.216419837,0.463656532,0.325530356,0.111068069,0.29277987,0.135781353,0.179832794,0.086871143,,,,,,,,0.464,,,,,,,,,,0.564221166,
Arizona,AZ,2015,0.798,0.744,0.890182376,0.619637088,0.675878653,0.614471338,0.697919097,0.666897024,0.158562191,0.3759411,0.563085248,0.254781029,0.405893363,0.272862009,0.441018908,0.203364416,,,,,,,,0.504,,,,,,,,,,0.735758182,
Arkansas,AR,2015,0.962,0.853,0.821271831,0.885539342,0.776549351,0.360622282,0.677703404,0.703181576,0.205814949,0.346888561,0.273733531,0.283167255,0.307905151,0.288104841,0.437829978,0.113065717,,,,,,,,0.456,,,,,,,,,,0.781513042,
California,CA,2015,0.821,0.765,0.836065395,0.705544196,0.735324883,0.47304463,0.630202342,0.656900958,0.12607206,0.317943963,0.391397878,0.211805687,0.374729152,0.231749404,0.277747644,0.080131466,,,,,,,,0.494,,,,,,,,,,0.69645032,
Colorado,CO,2015,0.931,0.896,0.934068778,0.860731719,0.822435313,0.566634139,0.82595099,0.729137871,0.170008339,0.474730484,0.401826677,0.305524456,0.474728478,0.37792655,0.362197201,0.167658484,,,,,,,,0.602,,,,,,,,,,0.840304141,
Connecticut,CT,2015,0.826,0.748,0.868650378,0.652514034,0.647986567,0.325380996,0.548263906,0.607494934,0.119435922,0.356675658,0.227487526,0.104835174,0.267902823,0.147920074,0.248102005,0.06111971,,,,,,,,0.468,,,,,,,,,,0.674704096,
Delaware,DE,2015,0.988,0.826,0.863472422,0.793159442,0.81751035,0.543974184,0.801360314,0.784231467,0.132267279,0.549748363,0.401461519,0.181600622,0.462858353,0.23012787,0.493452365,0.187478534,,,,,,,,0.544,,,,,,,,,,0.891290785,
District Of Columbia,DC,2015,0.764,0.663,0.704280214,0.641054073,0.591319724,0.354882574,0.612160806,0.539196265,0.172480872,0.164425342,0.264202265,0.150356533,0.331955965,0.151716161,0.199720369,0.123209032,,,,,,,,0.444,,,,,,,,,,0.652735172,
Florida,FL,2015,0.847,0.791,0.812388194,0.76804908,0.770820112,0.482405725,0.613538414,0.640952754,0.158569587,0.279908504,0.418145214,0.19752821,0.376447732,0.211471495,0.399618813,0.171845026,,,,,,,,0.481,,,,,,,,,,0.676722918,
Georgia,GA,2015,0.783,0.693,0.740547362,0.653017233,0.68720578,0.403097408,0.59369151,0.488044365,0.16124397,0.251059992,0.313245793,0.236451205,0.343771263,0.236451205,0.284193492,0.136826162,,,,,,,,0.508,,,,,,,,,,0.625411655,
Hawaii,HI,2015,0.866,0.708,0.732752964,0.679622639,0.622914679,0.492269815,0.555615775,0.525349736,0.102719194,0.361119197,0.415127413,0.124553051,0.378629484,0.153626118,0.268666898,0.064510575,,,,,,,,0.558,,,,,,,,,,0.589578463,
Idaho,ID,2015,0.889,0.812,0.857350661,0.766175409,0.716103388,0.320936838,0.60498795,0.559628597,0.124775548,0.387095349,0.204519539,0.126253301,0.307793506,0.194543683,0.216791116,0.068497235,,,,,,,,0.47,,,,,,,,,,0.685996657,
Illinois,IL,2015,0.87,0.735,0.705900775,0.776101498,0.683793274,0.572475384,0.622573451,0.660020758,0.261126291,0.345438115,0.448673593,0.182598916,0.454286506,0.24473025,0.280999834,0.143474411,,,,,,,,0.685,,,,,,,,,,0.687976833,
Indiana,IN,2015,0.954,0.888,0.873714245,0.902738949,0.858012586,0.493991929,0.771701454,0.772057019,0.157181788,0.34726814,0.350702344,0.246109755,0.427108139,0.373781695,0.442417586,0.198401559,,,,,,,,0.689,,,,,,,,,,0.836177329,
Iowa,IA,2015,0.913,0.808,0.849051457,0.761914243,0.684124851,0.504588188,0.806740095,0.763676505,0.233769523,0.38729858,0.478148539,0.268174737,0.39516704,0.279993484,0.297439109,0.179590148,,,,,,,,0.669,,,,,,,,,,0.850562555,
Kansas,KS,2015,0.915,0.83,0.813426841,0.855292967,0.842345976,0.507635211,0.769540358,0.829434855,0.182588005,0.397444495,0.41007362,0.207138108,0.423447726,0.197567093,0.283539806,0.096685474,,,,,,,,0.694,,,,,,,,,,0.862524007,
Kentucky,KY,2015,0.968,0.842,0.973528396,0.738079392,0.781502962,0.408963139,0.632801923,0.704969548,0.133242443,0.306758081,0.290913392,0.186864488,0.34535742,0.292543626,0.309951096,0.156222331,,,,,,,,0.536,,,,,,,,,,0.752615326,
Louisiana,LA,2015,0.748,0.693,0.624766031,0.738251088,0.618814588,0.326627708,0.56814203,0.600311625,0.169900578,0.319306178,0.271280799,0.152410081,0.241466029,0.208791983,0.215865957,0.121628951,,,,,,,,0.403,,,,,,,,,,0.67252741,
Maine,ME,2015,0.831,0.734,0.805597446,0.646464337,0.687794211,0.50257238,0.657806991,0.623199991,0.136190203,0.307515275,0.414361776,0.21947942,0.440739165,0.247720329,0.269192785,0.114565717,,,,,,,,0.452,,,,,,,,,,0.756988398,
Maryland,MD,2015,0.825,0.734,0.79318713,0.709880877,0.73826769,0.459237353,0.63172183,0.615690048,0.161875226,0.485840289,0.391279057,0.224737201,0.365995646,0.200418763,0.297316821,0.139451653,,,,,,,,0.483,,,,,,,,,,0.706574778,
Massachusetts,MA,2015,0.949,0.899,0.971875727,0.835486775,0.860778588,0.607222633,0.735279964,0.741240886,0.222856234,0.298348286,0.44620888,0.262039522,0.535370724,0.350033554,0.331251974,0.169092287,,,,,,,,0.494,,,,,,,,,,0.81561374,
Michigan,MI,2015,0.903,0.849,0.815467149,0.888629638,0.843408058,0.600192982,0.78563992,0.810513978,0.204651074,0.447256921,0.498397232,0.177790235,0.476163673,0.290119772,0.336725031,0.162109825,,,,,,,,0.628,,,,,,,,,,0.868984715,
Minnesota,MN,2015,0.977,0.889,0.922066574,0.85541537,0.760044836,0.610939419,0.801732002,0.869714287,0.204675868,0.431283723,0.457758308,0.230363825,0.550435348,0.283070514,0.252747009,0.086908828,,,,,,,,0.792,,,,,,,,,,0.886750726,
Mississippi,MS,2015,0.879,0.828,0.830351792,0.823963398,0.819751526,0.429814801,0.692821614,0.750542671,0.177111924,0.197882685,0.393391253,0.230774489,0.236755946,0.276803005,0.233486825,0.194685493,,,,,,,,0.637,,,,,,,,,,0.793804367,
Missouri,MO,2015,0.9,0.786,0.807115163,0.753884648,0.700674708,0.420254671,0.703661798,0.63324855,0.117752298,0.224671294,0.373935514,0.213448093,0.240630682,0.206144439,0.258853315,0.101418595,,,,,,,,0.6,,,,,,,,,,0.760208582,
Montana,MT,2015,0.833,0.747,0.786392683,0.716429891,0.727501053,0.454892793,0.658705052,0.636218618,0.191147173,0.328459922,0.390056504,0.231290268,0.389006267,0.244838543,0.183349201,0.097367351,,,,,,,,0.672,,,,,,,,,,0.747175002,
